Date,Value
2000-01-01,54.0686
2000-02-01,48.9871
2000-03-01,46.2552
2000-04-01,44.5610
2000-05-01,43.7422
2000-06-01,42.8195
2000-07-01,41.2543
2000-08-01,38.2913
2000-09-01,38.8038
2000-10-01,36.2927
2000-11-01,32.9941
2000-12-01,30.6281
2001-01-01,32.4874
2001-02-01,31.4915
2001-03-01,30.6518
2001-04-01,28.5805
2001-05-01,29.5070
2001-06-01,29.1429
2001-07-01,27.5145
2001-08-01,25.9530
2001-09-01,24.4730
2001-10-01,23.2361
2001-11-01,23.6764
2001-12-01,24.3133
2002-01-01,22.8217
2002-02-01,24.3665
2002-03-01,28.8995
2002-04-01,29.3577
2002-05-01,28.3370
2002-06-01,28.4200
2002-07-01,28.5996
2002-08-01,27.8786
2002-09-01,32.0090
2002-10-01,33.2639
2002-11-01,37.9062
2002-12-01,38.0373
2003-01-01,41.0539
2003-02-01,40.6665
2003-03-01,37.1748
2003-04-01,37.4277
2003-05-01,37.7482
2003-06-01,34.0538
2003-07-01,35.3470
2003-08-01,36.2567
2003-09-01,37.3086
2003-10-01,35.8843
2003-11-01,34.1085
2003-12-01,35.9648
2004-01-01,39.5105
2004-02-01,37.0770
2004-03-01,36.6957
2004-04-01,36.4123
2004-05-01,36.6929
2004-06-01,39.8736
2004-07-01,35.9618
2004-08-01,33.9182
2004-09-01,34.2432
2004-10-01,31.6719
2004-11-01,32.6886
2004-12-01,36.9296
2005-01-01,36.9581
2005-02-01,41.2380
2005-03-01,49.3974
2005-04-01,50.7548
2005-05-01,56.1973
2005-06-01,60.0232
2005-07-01,57.8814
2005-08-01,51.9739
2005-09-01,46.8736
2005-10-01,47.5948
2005-11-01,51.4518
2005-12-01,56.3936
2006-01-01,63.3886
2006-02-01,62.9780
2006-03-01,59.6000
2006-04-01,60.5060
2006-05-01,60.1452
2006-06-01,60.2300
2006-07-01,64.4948
2006-08-01,73.5896
2006-09-01,77.0976
2006-10-01,75.1659
2006-11-01,76.7909
2006-12-01,76.9643
2007-01-01,79.2065
2007-02-01,79.0755
2007-03-01,76.9932
2007-04-01,79.5100
2007-05-01,83.9126
2007-06-01,92.6824
2007-07-01,92.5118
2007-08-01,87.4396
2007-09-01,92.7835
2007-10-01,90.9748
2007-11-01,92.6132
2007-12-01,91.9390
2008-01-01,98.9657
2008-02-01,115.4481
2008-03-01,121.7738
2008-04-01,111.2850
2008-05-01,108.8341
2008-06-01,111.3371
2008-07-01,115.2309
2008-08-01,112.6757
2008-09-01,105.3777
2008-10-01,88.7683
2008-11-01,90.7640
2008-12-01,81.8978
2009-01-01,82.4986
2009-02-01,80.2195
2009-03-01,76.3077
2009-04-01,75.7041
2009-05-01,75.5710
2009-06-01,73.7768
2009-07-01,71.6774
2009-08-01,72.3514
2009-09-01,73.8223
2009-10-01,73.5068
2009-11-01,69.4824
2009-12-01,69.6104
2010-01-01,69.9395
2010-02-01,67.8845
2010-03-01,67.2474
2010-04-01,71.6364
2010-05-01,70.7238
2010-06-01,76.9218
2010-07-01,85.2732
2010-08-01,82.6964
2010-09-01,81.2782
2010-10-01,85.1195
2010-11-01,91.9891
2010-12-01,94.0626
2011-01-01,101.0900
2011-02-01,109.3500
2011-03-01,118.1291
2011-04-01,117.4000
2011-05-01,121.9832
2011-06-01,117.9541
2011-07-01,112.7305
2011-08-01,112.0665
2011-09-01,106.0573
2011-10-01,98.1038
2011-11-01,97.2409
2011-12-01,98.7550
2012-01-01,96.7177
2012-02-01,101.9810
2012-03-01,103.5709
2012-04-01,101.7971
2012-05-01,107.0887
2012-06-01,105.6962
2012-07-01,107.0623
2012-08-01,106.5209
2012-09-01,104.9500
2012-10-01,104.4670
2012-11-01,97.6718
2012-12-01,96.5986
2013-01-01,99.5622
2013-02-01,104.0325
2013-03-01,106.0710
2013-04-01,101.6718
2013-05-01,99.1752
2013-06-01,90.7855
2013-07-01,95.2070
2013-08-01,94.0109
2013-09-01,87.7767
2013-10-01,83.6961
2013-11-01,79.7062
2013-12-01,87.7182
2014-01-01,87.6887
2014-02-01,95.8995
2014-03-01,105.3690
2014-04-01,105.5718
2014-05-01,102.9850
2014-06-01,98.9114
2014-07-01,101.7865
2014-08-01,100.2543
2014-09-01,100.5227
2014-10-01,104.6987
2014-11-01,103.0585
2014-12-01,98.2865
2015-01-01,97.8850
2015-02-01,98.3620
2015-03-01,92.1609
2015-04-01,92.0409
2015-05-01,87.5571
2015-06-01,90.2450
2015-07-01,87.1209
2015-08-01,85.7767
2015-09-01,81.4950
2015-10-01,82.7791
2015-11-01,81.7410
2015-12-01,79.2748
2016-01-01,74.9257
2016-02-01,74.0414
2016-03-01,75.6791
2016-04-01,80.1771
2016-05-01,83.9332
2016-06-01,85.9405
2016-07-01,90.8157
2016-08-01,91.7865
2016-09-01,96.8827
2016-10-01,103.6467
2016-11-01,103.7191
2016-12-01,101.8545
2017-01-01,108.3200
2017-02-01,106.4900
2017-03-01,106.7343
2017-04-01,103.7605
2017-05-01,98.3591
2017-06-01,101.9291
2017-07-01,104.9381
2017-08-01,104.5165
2017-09-01,99.1843
2017-10-01,98.3914
2017-11-01,91.3277
2017-12-01,87.5648
2018-01-01,88.6074
2018-02-01,89.2025
2018-03-01,88.1409
2018-04-01,88.3057
2018-05-01,88.7396
2018-06-01,86.0695
2018-07-01,84.4177
2018-08-01,80.7396
2018-09-01,76.7000
2018-10-01,85.3183
2018-11-01,83.5155
2018-12-01,77.5390
2019-01-01,78.2009
2019-02-01,78.6535
2019-03-01,76.9576
2019-04-01,73.2577
2019-05-01,71.1183
2019-06-01,73.9925
2019-07-01,73.9278
2019-08-01,70.8114
2019-09-01,70.6443
2019-10-01,68.6339
2019-11-01,73.2762
2019-12-01,73.3105
2020-01-01,70.5839
2020-02-01,68.0665
2020-03-01,67.4568
2020-04-01,64.0227
2020-05-01,64.5371
2020-06-01,64.6168
2020-07-01,67.6865
2020-08-01,72.6386
2020-09-01,72.7732
2020-10-01,68.3577
2020-11-01,72.3824
2020-12-01,71.9461
2021-01-01,70.8138
2021-02-01,73.3715
2021-03-01,73.8596
2021-04-01,74.4650
2021-05-01,79.6838
2021-06-01,84.9273
2021-07-01,94.0891
2021-08-01,94.8882
2021-09-01,104.5895
2021-10-01,105.3048
2021-11-01,109.4345
2021-12-01,112.4648
2022-01-01,109.7124
2022-02-01,109.4265
2022-03-01,103.9248
2022-04-01,103.9600
2022-05-01,103.1550
2022-06-01,103.8455
2022-07-01,100.4443
2022-08-01,109.6891
2022-09-01,111.3582
2022-10-01,103.0119
2022-11-01,92.5950
2022-12-01,92.4350
2023-01-01,95.9791
2023-02-01,103.9630
