Date,Value
2000-01-01,366607410
2000-02-01,366139276
2000-03-01,453096388
2000-04-01,473751011
2000-05-01,481725263
2000-06-01,517102460
2000-07-01,564747276
2000-08-01,558060051
2000-09-01,446489429
2000-10-01,462329685
2000-11-01,442268378
2000-12-01,461651082
2001-01-01,379458113
2001-02-01,366288212
2001-03-01,448912584
2001-04-01,455496342
2001-05-01,462376555
2001-06-01,528690495
2001-07-01,564037290
2001-08-01,562266005
2001-09-01,446266947
2001-10-01,452095177
2001-11-01,446094295
2001-12-01,479188686
2002-01-01,398443099
2002-02-01,397948979
2002-03-01,459147305
2002-04-01,453149024
2002-05-01,461622928
2002-06-01,499734575
2002-07-01,564023742
2002-08-01,516067118
2002-09-01,385089969
2002-10-01,399247828
2002-11-01,376011411
2002-12-01,448245893
2003-01-01,393287373
2003-02-01,390041481
2003-03-01,472573962
2003-04-01,483653074
2003-05-01,489484678
2003-06-01,531138943
2003-07-01,578767927
2003-08-01,557897322
2003-09-01,427807444
2003-10-01,463025617
2003-11-01,448181812
2003-12-01,489403554
2004-01-01,410338691
2004-02-01,389778365
2004-03-01,453014590
2004-04-01,471116666
2004-05-01,472861212
2004-06-01,514365919
2004-07-01,554813029
2004-08-01,511216651
2004-09-01,401403280
2004-10-01,436908280
2004-11-01,440222335
2004-12-01,476798294
2005-01-01,378368103
2005-02-01,351583660
2005-03-01,463828081
2005-04-01,430496434
2005-05-01,462014277
2005-06-01,508598324
2005-07-01,548229054
2005-08-01,511556316
2005-09-01,436175168
2005-10-01,432503304
2005-11-01,435866215
2005-12-01,447261670
2006-01-01,363830405
2006-02-01,347575222
2006-03-01,430329187
2006-04-01,445609435
2006-05-01,459957974
2006-06-01,516527472
2006-07-01,549393934
2006-08-01,530942270
2006-09-01,427768908
2006-10-01,451598087
2006-11-01,451610146
2006-12-01,461370074
2007-01-01,377529725
2007-02-01,360542790
2007-03-01,459164806
2007-04-01,470429231
2007-05-01,494257576
2007-06-01,545207971
2007-07-01,585837053
2007-08-01,570807078
2007-09-01,451772968
2007-10-01,483184463
2007-11-01,503151672
2007-12-01,508739922
2008-01-01,416211470
2008-02-01,395912010
2008-03-01,504552405
2008-04-01,473811702
2008-05-01,550928592
2008-06-01,580290736
2008-07-01,645144911
2008-08-01,620188551
2008-09-01,500634771
2008-10-01,517898247
2008-11-01,484492078
2008-12-01,511270950
2009-01-01,419766348
2009-02-01,376710497
2009-03-01,456227991
2009-04-01,469783200
2009-05-01,494908098
2009-06-01,542873119
2009-07-01,596670353
2009-08-01,582302101
2009-09-01,462787005
2009-10-01,493132875
2009-11-01,498855768
2009-12-01,537980573
2010-01-01,440854078
2010-02-01,405905875
2010-03-01,538675366
2010-04-01,520013629
2010-05-01,544408276
2010-06-01,604206171
2010-07-01,669880427
2010-08-01,597056638
2010-09-01,497091526
2010-10-01,531024449
2010-11-01,528519429
2010-12-01,558069744
2011-01-01,456336772
2011-02-01,436196722
2011-03-01,566357389
2011-04-01,572508869
2011-05-01,584806522
2011-06-01,595163810
2011-07-01,632786423
2011-08-01,581116991
2011-09-01,509094731
2011-10-01,543403112
2011-11-01,552477847
2011-12-01,557374424
2012-01-01,463005361
2012-02-01,461139329
2012-03-01,544100123
2012-04-01,585609840
2012-05-01,594778477
2012-06-01,642263746
2012-07-01,663965533
2012-08-01,639545067
2012-09-01,533542490
2012-10-01,539908156
2012-11-01,534831976
2012-12-01,577219034
2013-01-01,478056074
2013-02-01,449136459
2013-03-01,604193668
2013-04-01,547267811
2013-05-01,598536892
2013-06-01,638602721
2013-07-01,681357191
2013-08-01,649933765
2013-09-01,517765302
2013-10-01,543695520
2013-11-01,519835331
2013-12-01,604977613
2014-01-01,466418567
2014-02-01,424362057
2014-03-01,542911331
2014-04-01,545773080
2014-05-01,581325298
2014-06-01,624637290
2014-07-01,672539892
2014-08-01,649665562
2014-09-01,540029397
2014-10-01,554539946
2014-11-01,546544981
2014-12-01,587913029
2015-01-01,458200128
2015-02-01,430056703
2015-03-01,556689651
2015-04-01,541203782
2015-05-01,539871332
2015-06-01,620954019
2015-07-01,680358542
2015-08-01,627586111
2015-09-01,519017227
2015-10-01,523223360
2015-11-01,538968201
2015-12-01,561992627
2016-01-01,443214812
2016-02-01,425393477
2016-03-01,555131660
2016-04-01,512433020
2016-05-01,571922265
2016-06-01,624827889
2016-07-01,681258622
2016-08-01,622399656
2016-09-01,529746419
2016-10-01,515715563
2016-11-01,541014515
2016-12-01,562539179
2017-01-01,458016423
2017-02-01,405865664
2017-03-01,530748447
2017-04-01,561148298
2017-05-01,574606036
2017-06-01,636313142
2017-07-01,667515087
2017-08-01,628885839
2017-09-01,511006011
2017-10-01,544835510
2017-11-01,552222667
2017-12-01,558435738
2018-01-01,438710211
2018-02-01,397611189
2018-03-01,507584752
2018-04-01,502623911
2018-05-01,556052014
2018-06-01,600475156
2018-07-01,655798387
2018-08-01,622165201
2018-09-01,495908489
2018-10-01,541695863
2018-11-01,561549866
2018-12-01,551882741
2019-01-01,443790117
2019-02-01,400576951
2019-03-01,517020057
2019-04-01,532041046
2019-05-01,576765031
2019-06-01,618224369
2019-07-01,657244637
2019-08-01,626644744
2019-09-01,528336348
2019-10-01,540165523
2019-11-01,524186383
2019-12-01,583637283
2020-01-01,447564878
2020-02-01,400433113
2020-03-01,233377315
2020-04-01,36018048
2020-05-01,69098462
2020-06-01,128982242
2020-07-01,160734686
2020-08-01,157997236
2020-09-01,157507264
2020-10-01,161006011
2020-11-01,137301130
2020-12-01,130652258
2021-01-01,119971180
2021-02-01,115723821
2021-03-01,168864251
2021-04-01,197898318
2021-05-01,259115194
2021-06-01,381297659
2021-07-01,443271407
2021-08-01,414397934
2021-09-01,351319450
2021-10-01,390139607
2021-11-01,401400762
2021-12-01,403283532
2022-01-01,251006893
2022-02-01,243967008
2022-03-01,354206394
2022-04-01,389892474
2022-05-01,454971549
2022-06-01,517090295
2022-07-01,554232835
2022-08-01,530940861
2022-09-01,458276905
2022-10-01,484046021
2022-11-01,461641160
2022-12-01,468998419
